,PC1,PC2
10317.000001126,-0.18061303208679264,-0.015265431523257631
10317.000001128,-0.20668051259240452,0.06781115733801119
10317.000001129,-0.3265235484373103,-0.09181655767492607
10317.000001130,0.18389167810995388,-0.15421486838147802
10317.000001135,-0.38284159531856704,-0.22113230056644131
10317.000001140,0.15245777138115804,0.18027944311991728
10317.000001141,0.04665635591984854,-0.03254940218378987
10317.000001142,0.2463822131915318,-0.05007159929845464
10317.000001150,0.012245682744472453,-0.03412838945300406
10317.000001151,0.15339157765604441,0.19333266110744393
10317.000001152,-0.27485957370008335,-0.06512802484270341
10317.000001154,-0.26181352113927114,0.0037325743532025607
10317.000001155,-0.1775411249272048,-0.08756924857476997
10317.000001161,-0.11786598654245788,0.14954431601575388
10317.000001166,0.24697303189080808,-0.19953585394485307
10317.000001170,-0.2809385149747181,-0.10734204628923383
10317.000001171,-0.13907906395341157,0.011687379849079133
10317.000001173,-0.19212007002298173,0.07799180047714363
10317.000001174,-0.33917343660270494,-0.12670530869081206
10317.000001175,0.2807342844755777,0.11556398390123498
10317.000001180,-0.25705548820700685,-0.04632547847236967
10317.000001182,-0.2150807660661716,-0.0716917714665086
10317.000001184,0.024163217903395377,0.06791793039790577
10317.000001186,0.24580873463877623,-0.1623000740411458
10317.000001189,-0.1017940294556405,0.09240979402594308
10317.000001192,-0.2304485850286897,0.05051581208142205
10317.000001193,-0.05815913693276903,0.1792916752424694
10317.000001194,0.22967494942222597,-0.17977713066541418
10317.000001196,-0.08496054347382069,0.1701936937654597
10317.000001197,-0.12347658868239107,0.07607432297019143
10317.000001203,-0.07317141471910403,-0.11079652907361603
10317.000001205,0.2430850991618125,-0.25306467734228416
10317.000001208,-0.3281150248289277,-0.17522107460642242
10317.000001209,-0.06539337638758094,0.1629985725178326
10317.000001216,0.14729078823209313,0.20464707396353354
10317.000001218,0.09397507300551979,0.14066693910107445
10317.000001221,-0.16785424829841836,0.011812133957942865
10317.000001225,-0.40665088138123334,-0.20623791313758036
10317.000001228,-0.3587047810843087,-0.1697724392531133
10317.000001230,-0.21751646844226458,0.013074559555249273
10317.000001231,0.03256467122537785,0.16482547924220822
10317.000001234,-0.023292741478969856,-0.05346713694740458
10317.000001240,0.16263907421795815,-0.19434856568536923
10317.000001243,0.15975220604263005,0.13200978099136748
10317.000001244,-0.178998262250688,0.0014414348812145355
10317.000001246,0.24196745250248952,-0.20041517638864537
10317.000001247,0.17656301166346644,0.1862711514119988
10317.000001248,0.09059991578416939,-0.14674366774756137
10317.000001252,-0.303391086062667,-0.14352989278853104
10317.000001253,-0.1878131883097198,-0.10131292555073859
10317.000001255,0.34612366501769565,0.004192909015828817
10317.000001256,-0.2404327556747043,-0.08226796464240183
10317.000001263,0.27330875470049665,-0.1194803464534061
10317.000001267,-0.1227002041853106,0.10395892985930848
10317.000001269,-0.27477080400986686,-0.10209033373924087
10317.000001278,-0.22354296589767414,0.07044680859097034
10317.000001281,0.2091881901530039,0.018512813572250056
10317.000001282,-0.31888718108068886,-0.11896651466239372
10317.000001284,0.3586642830926337,-0.30982965439323207
10317.000001285,-0.14632398177023426,0.05601228517547759
10317.000001286,-0.2241845575976014,-0.06975191547716966
10317.000001288,-0.14871133008359974,0.04828082204899448
10317.000001291,0.18885579743292988,-0.34517313898142155
10317.000001294,-0.1281855594880823,-0.008023769878025439
10317.000001301,0.2043258660864789,-0.2830490819577518
10317.000001302,-0.11451892492110151,-0.0361632440904873
10317.000001305,0.12210822320743403,-0.14848385721786217
10317.000001307,0.1264432730919826,-0.09502548901547649
10317.000001311,-0.2982904148872961,-0.09743009603904645
10317.000001312,-0.3484135276298016,-0.19132506548031145
10317.000001317,-0.3116421214106278,-0.10731475621242766
10317.000001321,-0.14287365216984363,0.07666658441389715
10317.000001322,0.237173884050464,-0.2523015028005499
10317.000001327,-0.34401170084745036,-0.17487961585890416
10317.000001328,-0.20683269950172428,0.04682199767191829
10317.000001331,-0.30418378965361625,-0.08428997142817457
10317.000001332,0.22995772618618027,-0.11313179758977245
10317.000001333,-0.1547401616004708,-0.1606301209539669
10317.000001336,-0.19164117098035358,0.0461843657995378
10317.000001346,-0.09957544189392775,-0.14456491268876423
10317.000001347,-0.0005969566431062734,0.08148355900712619
10317.000001350,0.32637745982120975,0.1405276576338687
10317.000001351,-0.13267293349372913,-0.01948375465447126
10317.000001352,0.09498748727624624,-0.08310520179382795
10317.000001353,-0.024391356321311373,0.11672596211366404
10317.000001354,0.059083985446247364,-0.02153423632044869
10317.000001360,-0.21656358658176852,-0.0778452245617626
